player,playing,moves,sac_player,sac_game
Polgar,White,46,4,6
Polgar,White,33,2,6
Polgar,White,88,6,15
Polgar,White,62,8,14
Polgar,White,18,2,2
Anand,Black,46,2,6
Anand,Black,33,4,6
Anand,Black,88,9,15
Anand,Black,62,6,14
Anand,Black,18,0,2
Caruana,White,79,7,12
Caruana,White,30,2,3
Caruana,White,66,3,10
Caruana,White,87,7,12
Caruana,White,86,7,14
Kasparov,Black,79,5,12
Kasparov,Black,30,1,3
Kasparov,Black,66,7,10
Kasparov,Black,87,5,12
Kasparov,Black,86,7,14
Tal,White,51,6,13
Tal,White,42,4,7
Tal,White,78,6,11
Tal,White,48,2,5
Tal,White,33,3,5
Nakamura,Black,51,7,13
Nakamura,Black,42,3,7
Nakamura,Black,78,5,11
Nakamura,Black,48,3,5
Nakamura,Black,33,2,5
Alekhine,White,65,6,14
Alekhine,White,70,3,7
Alekhine,White,58,4,5
Alekhine,White,17,0,1
Alekhine,White,45,7,11
Carlsen,Black,65,8,14
Carlsen,Black,70,4,7
Carlsen,Black,58,1,5
Carlsen,Black,17,1,1
Carlsen,Black,45,4,11
Anand,White,34,3,5
Anand,White,54,5,9
Anand,White,47,3,5
Anand,White,42,7,10
Anand,White,15,0,2
Alekhine,Black,34,2,5
Alekhine,Black,54,4,9
Alekhine,Black,47,2,5
Alekhine,Black,42,3,10
Alekhine,Black,15,2,2
Kasparov,White,52,4,10
Kasparov,White,45,2,3
Kasparov,White,56,7,14
Kasparov,White,48,6,11
Kasparov,White,51,2,5
Nakamura,Black,52,6,10
Nakamura,Black,45,1,3
Nakamura,Black,56,7,14
Nakamura,Black,48,5,11
Nakamura,Black,51,3,5
Alekhine,White,36,4,6
Alekhine,White,12,1,1
Alekhine,White,48,4,7
Alekhine,White,62,5,11
Alekhine,White,69,6,9
Nakamura,Black,36,2,6
Nakamura,Black,12,0,1
Nakamura,Black,48,3,7
Nakamura,Black,62,6,11
Nakamura,Black,69,3,9
